"single_model_name","ensemble_model_name","metric_name","n","mean_diff","ensemble_win_pct"
"arima","gbm_lag","mae",41,0.937460926829268,NA
"arima","gbm_lag","mape",41,-66.3753242682927,NA
"arima","gbm_lag","rmse",41,4.62681404878049,NA
"arima","gbm_lag","smape",41,0.998657365853658,NA
"decision_tree","random_forest","accuracy",435,0.0554319724137931,NA
"decision_tree","random_forest","f1",435,0.062132691954023,NA
"decision_tree","random_forest","logloss",435,5.70062535862069,NA
"decision_tree","random_forest","precision",435,0.110405416091954,NA
"decision_tree","random_forest","recall",435,0.0373202643678161,NA
"decision_tree","random_forest","roc_auc",435,0.11964252183908,NA
"decision_tree_regressor","gradient_boosting_regressor","mae",450,-132.047106557778,NA
"decision_tree_regressor","gradient_boosting_regressor","mape",450,0.0419708577777778,NA
"decision_tree_regressor","gradient_boosting_regressor","r2",450,0.129914715555556,NA
"decision_tree_regressor","gradient_boosting_regressor","rmse",450,-120.999720862222,NA
"exp_smoothing","gbm_lag","mae",41,1.0233462195122,NA
"exp_smoothing","gbm_lag","mape",41,-95.7960582682927,NA
"exp_smoothing","gbm_lag","rmse",41,6.10564785365854,NA
"exp_smoothing","gbm_lag","smape",41,-7.18069129268293,NA
"linear_regression","gradient_boosting_regressor","mae",450,74.7634973777778,NA
"linear_regression","gradient_boosting_regressor","mape",450,21.9764887288889,NA
"linear_regression","gradient_boosting_regressor","r2",450,0.186218313333333,NA
"linear_regression","gradient_boosting_regressor","rmse",450,-103.535086371111,NA
"logistic_regression","gradient_boosting","accuracy",435,0.0362375172413793,NA
"logistic_regression","gradient_boosting","f1",435,0.0744415172413793,NA
"logistic_regression","gradient_boosting","logloss",435,0.0834154,NA
"logistic_regression","gradient_boosting","precision",435,0.053885075862069,NA
"logistic_regression","gradient_boosting","recall",435,0.0764618620689655,NA
"logistic_regression","gradient_boosting","roc_auc",435,0.0344274,NA
"naive_bayes","gradient_boosting","accuracy",435,0.146748448275862,NA
"naive_bayes","gradient_boosting","f1",435,0.237586105747126,NA
"naive_bayes","gradient_boosting","logloss",435,0.700475135632184,NA
"naive_bayes","gradient_boosting","precision",435,0.23176935862069,NA
"naive_bayes","gradient_boosting","recall",435,0.224012779310345,NA
"naive_bayes","gradient_boosting","roc_auc",435,0.0750937540229885,NA
"svr","gradient_boosting_regressor","mae",450,7704.84080511556,NA
"svr","gradient_boosting_regressor","mape",450,61.1272168688889,NA
"svr","gradient_boosting_regressor","r2",450,0.377428824444444,NA
"svr","gradient_boosting_regressor","rmse",450,10034.1520790178,NA
