"value","count"
"adult_census",900
"bank_marketing",900
"breast_cancer",900
"dry_bean",900
"german_credit",900
"heart_disease",900
"letter_recognition",900
"magic_gamma",900
"online_shoppers",900
"abalone",600
"airfoil",600
"bike_sharing",600
"ccpp",600
"concrete_strength",600
"energy_efficiency",600
"housing_prices",600
"insurance",600
"wine_quality",600
"avila",450
