"task_type","comparison_count","ensemble_wins","single_wins","ties","non_tie_comparison_count","ensemble_win_rate_all_rows","ensemble_win_rate_excluding_ties","mean_difference","median_difference","sd_difference","min_difference","max_difference"
"classification",8550,7256,1033,261,8289,0.8487,0.8754,0.445416,0.079201,1.48876,-4.901586,16.687309
"regression",5400,4654,746,0,5400,0.8619,0.8619,1461.751142,0.696471,10121.62622,-8825.57045,104668.683603
