run_id,task_type,dataset_id,split_method,fold,repeat_id,metric_name,single_model_name,ensemble_model_name,single_metric_value,ensemble_metric_value,difference_definition,difference_value,ensemble_better,valid_pair,notes
20260427T171449,regression,insurance,repeated_kfold,1,1,mae,decision_tree_regressor,gradient_boosting_regressor,3203.75200821305,2611.10224841255,single_minus_ensemble_mae,592.649759800495,True,True,
20260427T171449,regression,insurance,repeated_kfold,1,1,r2,decision_tree_regressor,gradient_boosting_regressor,0.837020064225293,0.863365705011607,ensemble_minus_single_r2,0.0263456407863143,True,True,
20260427T171449,regression,insurance,repeated_kfold,2,1,rmse,linear_regression,gradient_boosting_regressor,6511.37250204252,4933.60984079445,single_minus_ensemble_rmse,1577.76266124807,True,True,
20260427T171449,regression,insurance,repeated_kfold,2,1,mae,linear_regression,gradient_boosting_regressor,4417.99205981147,2705.4613479907,single_minus_ensemble_mae,1712.53071182077,True,True,
20260427T171449,regression,insurance,repeated_kfold,2,1,r2,linear_regression,gradient_boosting_regressor,0.753346894815447,0.858397438879189,ensemble_minus_single_r2,0.105050544063742,True,True,
20260427T171449,regression,insurance,repeated_kfold,2,1,rmse,decision_tree_regressor,gradient_boosting_regressor,5555.18495180711,4933.60984079445,single_minus_ensemble_rmse,621.575111012659,True,True,
20260427T171449,regression,insurance,repeated_kfold,2,1,mae,decision_tree_regressor,gradient_boosting_regressor,3548.81815347468,2705.4613479907,single_minus_ensemble_mae,843.356805483976,True,True,
20260427T171449,regression,insurance,repeated_kfold,2,1,r2,decision_tree_regressor,gradient_boosting_regressor,0.820469371836551,0.858397438879189,ensemble_minus_single_r2,0.037928067042638,True,True,
20260427T171449,regression,insurance,repeated_kfold,3,1,rmse,linear_regression,gradient_boosting_regressor,5904.8317882857,4447.28877853977,single_minus_ensemble_rmse,1457.54300974593,True,True,
20260427T171449,regression,insurance,repeated_kfold,3,1,mae,linear_regression,gradient_boosting_regressor,3977.56170015314,2527.00925472848,single_minus_ensemble_mae,1450.55244542467,True,True,
20260427T171449,regression,insurance,repeated_kfold,3,1,r2,linear_regression,gradient_boosting_regressor,0.763469130818424,0.865827525808806,ensemble_minus_single_r2,0.102358394990382,True,True,
20260427T171449,regression,insurance,repeated_kfold,3,1,rmse,decision_tree_regressor,gradient_boosting_regressor,4874.18805442325,4447.28877853977,single_minus_ensemble_rmse,426.89927588348,True,True,
20260427T171449,regression,insurance,repeated_kfold,3,1,mae,decision_tree_regressor,gradient_boosting_regressor,3080.79358577776,2527.00925472848,single_minus_ensemble_mae,553.784331049285,True,True,
